"date","city_name","industry_name","detection_count"
"2023-04-23","Thimphu","Manufacturing",3
"2023-04-23","Thimphu","Professional Services",2
"2023-04-23","Thrissur","Education",3
"2023-04-23","Thrissur","BFSI",8
"2023-04-23","Thrissur","Hospitality & Healthcare",39
"2023-04-23","Tiruchi","Professional Services",9
"2023-04-23","Tiruchi","Education",97
"2023-04-23","Tirunelveli","Government",1
"2023-04-23","Tirunelveli","Manufacturing",1
"2023-04-23","Tirupur","Education",13
"2023-04-23","Todabhim","Manufacturing",1
"2023-04-23","Trivandrum","Government",3
"2023-04-23","Trivandrum","Education",3
"2023-04-23","Trivandrum","Automobiles",1
"2023-04-23","Trivandrum","Hospitality & Healthcare",1
"2023-04-23","Trivandrum","Manufacturing",168
"2023-04-23","Udaipur","Government",1
"2023-04-23","Udaipur","Manufacturing",1
"2023-04-23","Udaipur","Hospitality & Healthcare",17
"2023-04-23","Ujjain","Manufacturing",5
"2023-04-23","Ulhasnagar","Professional Services",1
"2023-04-23","Ulhasnagar","IT/ITES",2
"2023-04-23","Ulhasnagar","Manufacturing",54
"2023-04-23","Vadodara","Hospitality & Healthcare",2
"2023-04-23","Vadodara","Government",1
"2023-04-23","Vadodara","Education",25
"2023-04-23","Vadodara","Professional Services",6
"2023-04-23","Vadodara","Manufacturing",544
"2023-04-23","Valsad","Manufacturing",7
"2023-04-23","Valsad","Hospitality & Healthcare",71
"2023-04-23","Vapi","Manufacturing",20
"2023-04-23","Varanasi","Manufacturing",2
"2023-04-23","Vijayawada","Manufacturing",1
"2023-04-23","Vijayawada","Education",1
"2023-04-23","Vijayawada","Media & Entertainment",2
"2023-04-23","Vijayawada","Government",54
"2023-04-23","Vijayawada","Hospitality & Healthcare",111
"2023-04-23","Visakhapatnam","Hospitality & Healthcare",1
"2023-04-23","Visakhapatnam","Education",24
"2023-04-23","Visakhapatnam","IT/ITES",2
"2023-04-23","Visakhapatnam","Professional Services",73
"2023-04-23","Yamunanagar","Manufacturing",17
"2023-04-23","Yasothon","Professional Services",2
"2023-04-23","Yongin-si","Professional Services",10
